id,month,method,payee,amount,note
1,11月,バーコード,家電関連,16270,payPay
2,11月,バーコード,食費,100,payPay
3,11月,バーコード,食費,100,payPay
4,11月,バーコード,食費,790,payPay
5,11月,バーコード,食費,933,payPay
6,11月,バーコード,交際費,1801,payPay
7,11月,バーコード,食費,2914,payPay
8,11月,バーコード,食費,319,au Pay
9,11月,バーコード,食費,462,au Pay
10,11月,バーコード,食費,229,au Pay
11,11月,バーコード,食費,224,ドトール
12,11月,バーコード,食費,489,ドトール
13,11月,バーコード,食費,397,ドトール
14,11月,バーコード,食費,479,ドトール
15,11月,バーコード,食費,560,ドトール
16,11月,バーコード,食費,319,スタバ
17,11月,バーコード,食費,165,スタバ
18,11月,バーコード,食費,319,スタバ
19,11月,デビット・口座振替,学習・本,330,
20,11月,デビット・口座振替,ファッション・美容,2409,LUSH
21,11月,現金,交際費,200,
22,11月,現金,食費,1000,
23,11月,現金,交際費,3250,
24,11月,現金,食費,-1000,振替
25,11月,現金,食費,-1000,振替
26,11月,現金,交際費,-1000,振替
27,11月,現金,交際費,-1700,振替
28,11月,現金,食費,-3000,振替
29,11月,バーコード,食費,298,d払い
30,11月,バーコード,食費,768,d払い
31,11月,バーコード,食費,420,payPay
32,11月,バーコード,食費,660,payPay
33,11月,バーコード,食費,280,payPay
34,11月,バーコード,食費,294,payPay
35,11月,バーコード,食費,100,payPay
36,11月,バーコード,食費,436,au Pay
37,11月,バーコード,食費,467,au Pay
38,11月,バーコード,食費,336,ドトール
39,11月,バーコード,食費,224,ドトール
40,11月,バーコード,食費,275,ドトール
41,11月,バーコード,食費,336,ドトール
42,11月,デビット・口座振替,医療費・保険料,418,
43,11月,デビット・口座振替,通信料,7615,
44,11月,デビット・口座振替,学習・本,5787,
45,11月,デビット・口座振替,日用品以外,999,
46,11月,デビット・口座振替,コンテンツ,980,
47,11月,デビット・口座振替,交際費,1080,
48,11月,デビット・口座振替,コンテンツ,194,
49,11月,デビット・口座振替,ファッション・美容,2849,LUSH
50,11月,デビット・口座振替,ファッション・美容,32000,
51,11月,現金,食費,233,
52,11月,現金,交通費,1000,
53,11月,バーコード,食費,440,
54,11月,バーコード,食費,500,
55,11月,バーコード,食費,590,
56,11月,デビット・口座振替,交通費,220,
57,11月,デビット・口座振替,交通費,594,
58,11月,デビット・口座振替,交通費,594,
59,11月,デビット・口座振替,交通費,220,
60,11月,バーコード,食費,616,d払い
61,11月,バーコード,食費,1654,d払い
62,11月,バーコード,消耗品,440,payPay
63,11月,バーコード,食費,500,payPay
64,11月,バーコード,食費,590,payPay
65,11月,バーコード,ファッション・美容,9016,payPay
66,11月,バーコード,食費,100,payPay
67,11月,バーコード,食費,590,payPay
68,11月,バーコード,食費,790,payPay
69,11月,バーコード,家電関連,6626,payPay
70,11月,バーコード,家電関連,6980,payPay
71,11月,バーコード,食費,4560,payPay
72,11月,バーコード,消耗品,1858,payPay
73,11月,バーコード,ファッション・美容,28160,payPay
74,11月,バーコード,食費,190,payPay
75,11月,バーコード,食費,590,payPay
76,11月,バーコード,食費,2080,payPay
77,11月,バーコード,家電関連,9980,payPay
78,11月,バーコード,食費,190,payPay
79,11月,バーコード,食費,250,au Pay
80,11月,バーコード,食費,389,au Pay
81,11月,バーコード,食費,479,ドトール
82,11月,バーコード,食費,560,ドトール
83,11月,デビット・口座振替,家電関連,3421,
84,11月,デビット・口座振替,日用品以外,2800,ラクマ
85,11月,現金,食費,117,
86,11月,バーコード,食費,700,
87,11月,バーコード,食費,1057,d払い
88,11月,バーコード,食費,1553,d払い
89,11月,バーコード,食費,16,payPay
90,11月,バーコード,食費,280,payPay
91,11月,バーコード,食費,100,payPay
92,11月,バーコード,食費,123,payPay
93,11月,電子マネー,食費,870,
94,11月,バーコード,食費,224,ドトール
95,11月,バーコード,食費,614,ドトール
96,11月,バーコード,食費,479,ドトール
97,11月,バーコード,食費,346,ドトール
98,11月,バーコード,食費,489,ドトール
99,11月,デビット・口座振替,医療費・保険料,700,
100,11月,デビット・口座振替,コンテンツ,814,
101,11月,バーコード,食費,611,d払い
102,11月,バーコード,消耗品,588,d払い
103,11月,バーコード,食費,123,d払い
104,11月,バーコード,交際費,644,payPay
105,11月,バーコード,食費,400,payPay
106,11月,バーコード,食費,294,payPay
107,11月,バーコード,食費,190,payPay
108,11月,バーコード,食費,13,payPay
109,11月,バーコード,食費,190,payPay
110,11月,バーコード,食費,229,au Pay
111,11月,バーコード,食費,336,ドトール
112,11月,バーコード,食費,560,ドトール
113,11月,バーコード,食費,275,ドトール
114,11月,バーコード,食費,479,ドトール
115,11月,バーコード,食費,479,ドトール
116,11月,バーコード,食費,387,ドトール
117,11月,デビット・口座振替,家賃,71000,
118,11月,デビット・口座振替,交通費,56910,
119,11月,デビット・口座振替,交通費,220,
120,11月,デビット・口座振替,交通費,126,
121,11月,デビット・口座振替,交通費,126,
122,11月,デビット・口座振替,交通費,220,
123,11月,現金,食費,215,
124,11月,現金,ファッション・美容,8500,
125,11月,デビット・口座振替,交際費,3300,milet
126,11月,バーコード,食費,1818,d払い
127,11月,バーコード,食費,400,
128,11月,バーコード,消耗品,1868,
129,11月,バーコード,食費,200,
130,11月,バーコード,食費,421,
131,11月,バーコード,食費,280,
132,11月,バーコード,食費,829,
133,11月,デビット・口座振替,学習・本,3240,
134,11月,バーコード,食費,336,ドトール
135,11月,バーコード,食費,479,ドトール